character,line
TONY STARK,"We create our own demons. Who said that? What does that even mean? Doesn't matter, I said it cause he said it. So now he was famous and that's basically get said by two well known guys. I don't, uh..."
TONY STARK,I'm gonna start again. Let's track this from the beginning.
HAPPY HOGAN,Half hour till the ball drops.
TONY STARK,"Hey, do you want...?"
PARTY GUEST,"Tony Stark? Great speech, man!"
HAPPY HOGAN,"I got you, pal."
TONY STARK,I gave a speech? How was it?
HAPPY HOGAN,Pitiful
MAYA HANSEN,Unintelligible.
TONY STARK,Really?
MAYA HANSEN,Mmm-hmm.
TONY STARK,"It's my favorite kind, a winning combo."
MAYA HANSEN,Where are we going?
TONY STARK,"Uh, to town on each other, probably back in your room. Cause I also wanna see your research."
MAYA HANSEN,"Okay, you can see my research, but that's...I'm not gonna show you my ""town."""
HO YINSEN,Mr. Stark
TONY STARK,"Oh, I finally met a man called ""Ho."""
HO YINSEN,"I would like to introduce you to our guest, Dr. Wu."
TONY STARK,"Oh, this guy."
HO YINSEN,Mr. Stark.
TONY STARK,Hey.  You're a heart doctor. She's going to need a cardiologist after I...
MAYA HANSEN,Bye.
HO YINSEN,Perhaps another time.
TONY STARK,"It started in Bern, Switzerland, 1999."
ALDRICH KILLIAN,Mr. Stark!
TONY STARK,I never thought they'd come back to bite me. Why would they?
ALDRICH KILLIAN,"Oh, wow! Hey, Tony! Aldrich Killian. I'm a big fan of your work!"
MAYA HANSEN,My work?
TONY STARK,Who isn't? He means me.
ALDRICH KILLIAN,"Well, of course. But, Miss Hansen, my organization has been tracking your research since year two of MIT."
HAPPY HOGAN,"Yeah, we're full."
TONY STARK,"Oh, wow. He made it. He made the cut."
HAPPY HOGAN,"What floor are you going to, pal?"
ALDRICH KILLIAN,"Oh, now, that is an appropriate question. The ground floor, actually. I've got a proposal I'm putting together with myself. It's a privately funded think tank called, Advanced Idea Mechanics."
TONY STARK,Uh... she'll take both.
MAYA HANSEN,Okay.
TONY STARK,One to throw away and one to not call.
ALDRICH KILLIAN,"Advanced Idea Mechanics, or AIM for short. Do you get it?"
TONY STARK,"I see that, cause it's on your t-shirt."
ALDRICH KILLIAN,Aw!
TONY STARK,"Ladies, follow the mullet. Ladies first."
MAYA HANSEN,"Thank you, I'll call you."
TONY STARK,I'm titillated by the notion of working with you.
ALDRICH KILLIAN,Yeah?
TONY STARK,"Yeah, cheese clown. I'll see you up on the roof in five minutes.  I'm just going to try to get my beef wet real quick. You know what I'm talkin' about?"
ALDRICH KILLIAN,I'll see you up there.
TONY STARK,Damn betcha.
TONY STARK,Come on! I thought that was just a theory.
MAYA HANSEN,"Well, it was. If I'm right, we can access the area of the brain that governs repair..."
TONY STARK,Wow.
MAYA HANSEN,...And chemically recode it.
TONY STARK,That's incredible. Essentially you're hacking into the genetic...
BOTH,...Genetic operating system...
TONY STARK,...of a...
MAYA HANSEN,Exactly.
TONY,...living organism.
MAYA HANSEN,Yes.
TONY STARK,Wow.
MAYA HANSEN,Is that... Can you...
HAPPY HOGAN,What?
MAYA HANSEN,Can you not touch my plant. It's not...she doesn't like it. She prefers...
TONY STARK,She's not like the others. Come on. Let's go in the bedroom. Happy...
MAYA HANSEN,"That's cute, but..."
TONY STARK,Leave her ficus alone.
MAYA HANSEN,"Because... and, no, seriously don't."
TONY STARK,And you're starting with plants?
MAYA HANSEN,"For now, yeah."
